,Town,District,Division,Region,State,Town Type,Transport Name,Party Count
0,AGRA,,,,,,,5.0
1,Ajnas,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Municipal Corporation,,1.0
2,Alirajpur,Alirajpur,Indore,Nimar Region,Madhya Pradesh,Municipality,,3.0
3,Alot,Ratlam,Ujjain,Malwa Region,Madhya Pradesh,Nagar Parishad,,1.0
4,Anjad,Barwani,Indore,Nimar Region,Madhya Pradesh,Municipality,,3.0
5,Aron,Guna,Gwalior,Gwalior-Chambal Region,Madhya Pradesh,Nagar Panchayat,,1.0
6,Ashta,Sehore,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,2.0
7,Badnagar,Ujjain,Ujjain,Malwa Region,Madhya Pradesh,Nagar Palika,,1.0
8,Badnawar,Dhar,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,2.0
9,Bagli,Dewas,Ujjain,Malwa Region,Madhya Pradesh,Urban Local Body,,1.0
10,Bairagarh,Bhopal,Bhopal,Bhopal Region,Madhya Pradesh,Municipal Corporation,,1.0
11,Balaghat,Balaghat,Jabalpur,Mahakaushal Region,Madhya Pradesh,Municipality,,3.0
12,Balaghat,Balaghat,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,3.0
13,Banapura,Narmadapuram,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,1.0
14,Banmore,Morena,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,1.0
15,Barghat,Seoni,Jabalpur,Mahakaushal Region,Madhya Pradesh,,,1.0
16,Baroda,Sheopur,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Nagar Panchayat,,1.0
17,Barwaha,Khargone,Indore,Nimar Region,Madhya Pradesh,Municipality,,3.0
18,Barwani,Barwani,Indore,Nimar Region,Madhya Pradesh,Municipality,,4.0
19,Bediya,Khargone,Indore,Nimar Region,Madhya Pradesh,Municipality,,2.0
20,Beohari,Shahdol,Shahdol,Baghelkhand Region,Madhya Pradesh,,,2.0
21,Betma,Indore,Indore,Malwa Region,Madhya Pradesh,Nagar Panchayat,,1.0
22,Betul,Betul,Narmadapuram,Narmadapuram Region,Madhya Pradesh,Nagar Palika,,3.0
23,Bhabhra,Alirajpur,Indore,Nimar Region,Madhya Pradesh,Nagar Panchayat,,1.0
24,Bhander,Datia,Gwalior,Bundelkhand Region,Madhya Pradesh,Nagar Panchayat,,1.0
25,Bhind,Bhind,Chambal,Gwalior-Chambal Region,Madhya Pradesh,Municipality,,2.0
26,Bhopal,Bhopal,Bhopal,Bhopal Region,Madhya Pradesh,Municipal Corporation,,16.0
27,Biaora,Rajgarh,Bhopal,Bhopal Region,Madhya Pradesh,Municipality,,1.0
28,Burhanpur,Burhanpur,Indore,Nimar Region,Madhya Pradesh,Municipality,,3.0
